title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
Sis Safaa Phase 1,Rs. 89 Lac,5393,1650,"Urapakkam, Chennai",Chennai South,4,3,Furnished,2,NO,12.8673697,80.0698575,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sis-safaa-phase-1-urapakkam-chennai-south-1650-sq-ft-spid-N81455233
Urban Tree Superb,Rs. 37 Lac,6788,N/A,"Urapakkam, Chennai",Chennai South,1,1,N/A,N/A,NO,12.870799,80.083894,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-urban-tree-superb-urapakkam-chennai-south-545-sq-ft-spid-M81453111
Sai krishna Apartment,Rs. 60 Lac,6185,815,"New perungalathur, Perungalathur",Chennai South,2,2,Semifurnished,N/A,NO,12.910868,80.078937,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sai-krishna-apartment-new-perungalathur-chennai-south-970-sq-ft-spid-I81425989
SIS Marakesh Phase II,Rs. 38 Lac,5846,N/A,"Urapakkam, Chennai",Chennai South,2,2,Semifurnished,1,NO,12.855475,80.078776,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-urapakkam-chennai-south-650-sq-ft-r1-spid-W80229977
Ganthimathi Amutham Apartments,Rs. 33 Lac,4874,677,"Perungalathur, Chennai",Chennai South,2,2,N/A,3,NO,12.909399,80.077066,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ganthimathi-amutham-apartments-perungalathur-chennai-south-677-sq-ft-spid-I81415263
South India Shelters Marakesh,Rs. 80 Lac,5839,1370,"Bharani Dharan Boss, Urapakkam",Chennai South,3,3,Semifurnished,7,NO,12.854575,80.077331,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-south-india-shelters-marakesh-bharani-dharan-boss-chennai-south-1370-sq-ft-r2-spid-S75366229
N/A,Rs. 2.1 Crore,7291,N/A,"Urapakkam West, Chennai",Chennai South,3,3,N/A,N/A,NO,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-3000-sq-ft-r1-spid-G78049415
South India Shelters Marakesh,Rs. 85 Lac,6204,970,"Bharani Dharan Boss, Urapakkam",Chennai South,3,3,Semifurnished,N/A,NO,12.854575,80.077331,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-south-india-shelters-marakesh-bharani-dharan-boss-chennai-south-1370-sq-ft-r1-spid-F78001323
"sree homes ananya, arul nagar, urapakkam",Rs. 39 Lac,4352,896,"Urapakkam, Chennai",Chennai South,2,2,Furnished,1,NO,12.979635,80.220425,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-urapakkam-chennai-south-896-sq-ft-r1-spid-Q78018509
N/A,Rs. 4.13 Crore,2173684,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,1,NO,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-920-sq-yard-r1-spid-U77944011
